Calendar Year,System Type,Inter/Intra,Commodity,Total Miles,Total Breakout Tanks,Operator Count,Operator Count, VALUEOF(PORTAL_DATE),HL Total Pipe Miles,Miles of Gathering
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,4691.49,38,1,32109,2017-03-07 04:06:52,4691.49,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,11,0,1,32129,2017-03-07 04:06:52,11,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,61.31,0,1,32147,2017-03-07 04:06:52,61.31,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,1244.54,0,1,32258,2017-03-07 04:06:52,1244.54,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,22.18,0,1,32296,2017-03-07 04:06:52,22.18,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,45.17,0,1,32454,2017-03-07 04:06:52,45.17,0
2010,HAZARDOUS LIQUID,INTERSTATE,HVL FLAMM TOXIC,15.326,0,1,32554,2017-03-07 04:06:52,15.326,
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,256.66,0,1,300,2017-03-07 04:06:52,256.66,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,1747,9,1,395,2017-03-07 04:06:52,1747,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,23.49,0,1,1047,2017-03-07 04:06:52,23.49,
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,75,3,1,1248,2017-03-07 04:06:52,75,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,5580.359,344,1,1845,2017-03-07 04:06:52,5580.359,
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,681.1,21,1,2170,2017-03-07 04:06:52,681.1,
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,5494.8,478,1,2552,2017-03-07 04:06:52,5494.8,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,3.321,0,1,2564,2017-03-07 04:06:52,3.321,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,1205.6,62,1,2731,2017-03-07 04:06:52,1205.6,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,,15,1,4430,2017-03-07 04:06:52,,
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,1883.98,136,1,4805,2017-03-07 04:06:52,1883.98,
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,24,0,1,4906,2017-03-07 04:06:52,24,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,80.46,3,1,7063,2017-03-07 04:06:52,80.46,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,2344.5,94,1,10012,2017-03-07 04:06:52,2344.5,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,124,1,1,12628,2017-03-07 04:06:52,124,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,5.572,3,1,12913,2017-03-07 04:06:52,5.572,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,419,15,1,15156,2017-03-07 04:06:52,419,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,3169.26,217,1,15674,2017-03-07 04:06:52,3169.26,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,1776.7,90,1,18092,2017-03-07 04:06:52,1776.7,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,93,10,1,18386,2017-03-07 04:06:52,93,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,22.62,6,1,18678,2017-03-07 04:06:52,22.62,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,1642.35,71,1,18718,2017-03-07 04:06:52,1642.35,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,26.99,4,1,18779,2017-03-07 04:06:52,26.99,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,,10,1,19481,2017-03-07 04:06:52,,
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,658.96,20,1,22430,2017-03-07 04:06:52,658.96,
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,8722.5,537,1,22610,2017-03-07 04:06:52,8722.5,
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,939.49,5,1,22830,2017-03-07 04:06:52,939.49,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,378.86,0,1,22855,2017-03-07 04:06:52,378.86,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,17.3,72,1,26041,2017-03-07 04:06:52,17.3,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,233.2,0,1,26065,2017-03-07 04:06:52,233.2,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,85.7,5,1,26094,2017-03-07 04:06:52,85.7,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,128,0,1,26120,2017-03-07 04:06:52,128,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,504.16,32,1,26125,2017-03-07 04:06:52,504.16,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,32.87,0,1,30544,2017-03-07 04:06:52,32.87,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,367,14,1,30781,2017-03-07 04:06:52,367,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,85,6,1,30909,2017-03-07 04:06:52,85,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,6,16,1,31056,2017-03-07 04:06:52,6,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,287.5,95,1,31174,2017-03-07 04:06:52,287.5,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,621,0,1,31189,2017-03-07 04:06:52,621,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,,12,1,31288,2017-03-07 04:06:52,,
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,27.776,3,1,31371,2017-03-07 04:06:52,27.776,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,,,1,31420,2017-03-07 04:06:52,,
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,1945.6,23,1,31454,2017-03-07 04:06:52,1945.6,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,1915.538,67,1,31618,2017-03-07 04:06:52,1915.538,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,646.52,38,1,31666,2017-03-07 04:06:52,646.52,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,4445.24,177,1,31684,2017-03-07 04:06:52,4445.24,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,,9,1,32009,2017-03-07 04:06:52,,
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,608,34,1,32011,2017-03-07 04:06:52,608,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,0,109,1,32044,2017-03-07 04:06:52,0,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,10.32,1,1,32062,2017-03-07 04:06:52,10.32,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,355.16,0,1,32109,2017-03-07 04:06:52,355.16,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,3091.5,210,1,32147,2017-03-07 04:06:52,3091.5,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,8.48,1,1,32258,2017-03-07 04:06:52,8.48,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,23.4,0,1,32495,2017-03-07 04:06:52,23.4,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,816,2,1,32502,2017-03-07 04:06:52,816,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,10.5,1,1,99002,2017-03-07 04:06:52,10.5,0
2010,HAZARDOUS LIQUID,INTERSTATE,REFINED PP,14.3,0,1,99037,2017-03-07 04:06:52,14.3,
2010,HAZARDOUS LIQUID,INTRASTATE,BIOFUEL,1.04,0,1,22855,2017-03-07 04:06:52,1.04,0
2010,HAZARDOUS LIQUID,INTRASTATE,BIOFUEL,0.4,4,1,26094,2017-03-07 04:06:52,0.4,0
2010,HAZARDOUS LIQUID,INTRASTATE,BIOFUEL,14.7,6,1,31174,2017-03-07 04:06:52,14.7,
2010,HAZARDOUS LIQUID,INTRASTATE,CO2,31.5,0,1,401,2017-03-07 04:06:52,31.5,0
2010,HAZARDOUS LIQUID,INTRASTATE,CO2,155,0,1,473,2017-03-07 04:06:52,155,0
2010,HAZARDOUS LIQUID,INTRASTATE,CO2,185.43,0,1,4908,2017-03-07 04:06:52,185.43,0
2010,HAZARDOUS LIQUID,INTRASTATE,CO2,1.5,0,1,19102,2017-03-07 04:06:52,1.5,0
2010,HAZARDOUS LIQUID,INTRASTATE,CO2,2.7,0,1,30657,2017-03-07 04:06:52,2.7,
2010,HAZARDOUS LIQUID,INTRASTATE,CO2,39,0,1,30666,2017-03-07 04:06:52,39,0
2010,HAZARDOUS LIQUID,INTRASTATE,CO2,2,0,1,31178,2017-03-07 04:06:52,2,2
2010,HAZARDOUS LIQUID,INTRASTATE,CO2,1.3,0,1,31215,2017-03-07 04:06:52,1.3,0
2010,HAZARDOUS LIQUID,INTRASTATE,CO2,46,0,1,31304,2017-03-07 04:06:52,46,
2010,HAZARDOUS LIQUID,INTRASTATE,CO2,0.622,0,1,31371,2017-03-07 04:06:52,0.622,0
2010,HAZARDOUS LIQUID,INTRASTATE,CO2,20,0,1,31428,2017-03-07 04:06:52,20,0
2010,HAZARDOUS LIQUID,INTRASTATE,CO2,185.4,0,1,31471,2017-03-07 04:06:52,185.4,0
2010,HAZARDOUS LIQUID,INTRASTATE,CO2,58,0,1,31475,2017-03-07 04:06:52,58,0
2010,HAZARDOUS LIQUID,INTRASTATE,CO2,6,0,1,31502,2017-03-07 04:06:52,6,0
