Calendar Year,System Type,Inter/Intra,Commodity,Type A Miles,Type B Miles,Offshore Miles,Total Miles,Operator Count,Operator Count, VALUEOF(PORTAL_DATE)
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,4.88,0,4.88,1,31668,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,121.78,0,57.93,179.71,1,31672,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,9.12,0,9.12,1,31688,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,35.9,0,0,35.9,1,31690,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,435,48.9,0,483.9,1,31703,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,3.25,0,3.25,1,31719,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,5.99,0,5.99,1,31730,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0.9,0,0,0.9,1,31735,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,3.1,0,0,3.1,1,31738,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,13,0,13,1,31740,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,1.5,62.7,0,64.2,1,31753,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,34.95,0,0,34.95,1,31755,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,8.6,0,0,8.6,1,31774,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,24,0,0,24,1,31775,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,11.95,0,0,11.95,1,31776,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,81.125,115.6,0,196.725,1,31778,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,2,0,0,2,1,31803,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,14,0,146,160,1,31804,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,4.5,0,4.5,1,31806,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,38.3,1.4,0,39.7,1,31852,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,14.67,0,0,14.67,1,31864,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,2.43,10.3,0,12.73,1,31869,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,1,0,0,1,1,31875,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,4.3,0,0,4.3,1,31876,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,6,0,0,6,1,31880,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,3,0,0,3,1,31882,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,2,0,0,2,1,31883,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,2,0,0,2,1,31910,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,3,0,3,1,31919,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,37,0,0,37,1,31925,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,2,0,2,1,31929,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,2.3,0,2.3,1,31931,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,1,0,0,1,1,31934,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,95.17,0,0,95.17,1,31943,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,6,0,0,6,1,31949,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,0.3,0,0.3,1,31962,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,10.1,0,10.1,1,31968,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,0,12,12,1,31983,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,1.8,0,58,59.8,1,31994,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,10,10,0,20,1,32001,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,91.625,0,91.625,1,32007,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,1,0,19,20,1,32019,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,22.6,0,0,22.6,1,32045,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,0,73.2,73.2,1,32052,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,38,0,0,38,1,32055,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,6.11,0,0,6.11,1,32073,2017-03-07 04:06:52
2010,GAS GATHERING,INTRASTATE,NATURAL GAS,0,1.69,8.09,9.78,1,32083,2017-03-07 04:06:52
